# index, vids, hemisphere, homologue, cell_type, annotations, cluster, _pos
826,4119387,right,8276782,PN,mPN; Multiglomerular PN 7; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; thermo-warm 2nd_order PN,32,"array([0.58614145, 0.84695112])"
827,8256186,right,7916593,PN,30a PN; uPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,12,"array([0.57452504, 0.85199119])"
828,4985759,left,9291474,LN,Thermo PN 2,17,"array([0.54964889, 0.85954366])"
829,11543212,right,3712893,PN,mPN; mPN iACT bilateral LOWER; Multiglomerular PN 2; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN,22,"array([0.58756839, 0.85980823])"
830,12745771,left,2914206,LHN,no official annotation,28,"array([0.58616512, 0.89629513])"
831,4154421,left,3690921,PN,Thermo PN 4; tPN; thermo-cold 2nd_order PN,17,"array([0.54221833, 0.87052682])"
832,7439909,left,15531033,sensory,gustatory-pharyngeal,5,"array([0.58218628, 0.95958815])"
833,16059134,left,10725068,pre-DN-VNC,no official annotation,27,"array([0.723427  , 0.86306433])"
834,7503199,right,9589146,PN,mPN; mPN; olfactory 2nd_order PN; gustatory-external 2nd_order PN; gustatory-pharyngeal 2nd_order PN,22,"array([0.5988174 , 0.86240958])"
835,12156009,left,7020344,PN,Gustatory PN 3; gustatory-external 2nd_order PN,28,"array([0.59290897, 0.87795607])"
836,11717001,left,10683313,PN-somato,mechano-Ch 2nd_order PN,18,"array([0.72747217, 0.86626522])"
837,17244655,left,17360593,LHN,no official annotation,28,"array([0.60942047, 0.90647593])"
838,15652529,right,4338596,sensory,gustatory-external,3,"array([0.58152385, 0.92583451])"
839,8245869,right,7198338,PN,24a PN; uPN; olfactory 2nd_order PN,12,"array([0.564764  , 0.86311549])"
840,17356454,left,2557644,DN-SEZ,no official annotation,4,"array([0.54741952, 0.90633529])"
841,5507096,right,9421292,LHN,no official annotation,38,"array([0.59551405, 0.86461373])"
842,2914206,right,12745771,LHN,no official annotation,28,"array([0.57285258, 0.8845405 ])"
843,2932028,right,14333371,LHN,no official annotation,38,"array([0.59394263, 0.87564506])"
844,7865767,left,8243455,PN,83a PN; uPN; olfactory 2nd_order PN,12,"array([0.56262478, 0.85099501])"
845,2921933,right,4570270,LN,no official annotation,28,"array([0.56248457, 0.87525244])"
846,8138616,right,19611917,LHN,no official annotation,28,"array([0.56930647, 0.89394344])"
847,4127707,right,9747418,LHN,no official annotation,28,"array([0.57117788, 0.90183472])"
848,4102413,right,9445876,LN,no official annotation,38,"array([0.58506527, 0.88054492])"
849,10293348,right,4279887,LHN,no official annotation,28,"array([0.5589701 , 0.87447382])"
850,7971031,right,4635057,LHN,Thermo PN 1; Thermo PN 6,28,"array([0.5720994 , 0.89122656])"
851,3002410,right,4108016,PN,Thermo PN 7; tPN; thermo-cold 2nd_order PN,25,"array([0.53888634, 0.90387226])"
